n:1000 time:35419
n:1064 time:41182
n:1133 time:49509
n:1207 time:51272
n:1285 time:52677
n:1368 time:55930
n:1457 time:59972
n:1551 time:58053
n:1652 time:31668
n:1759 time:25917
n:1873 time:30407
n:1994 time:33004
n:2123 time:31733
n:2261 time:30022
n:2408 time:34525
n:2564 time:41891
n:2730 time:43003
n:2907 time:42379
n:3095 time:46951
n:3295 time:50551
n:3509 time:54630
n:3736 time:51008
n:3978 time:65847
n:4236 time:59745
n:4511 time:72233
n:4803 time:74381
n:5114 time:81771
n:5446 time:80080
n:5798 time:92785
n:6174 time:97517
n:6574 time:94228
n:7000 time:107352
n:7454 time:105832
n:7937 time:128438
n:8451 time:127471
n:8998 time:139663
n:9581 time:130049
n:10202 time:156744
n:10863 time:169786
n:11567 time:187811
n:12316 time:197980
n:13114 time:208607
n:13964 time:187678
n:14868 time:206217
n:15832 time:246979
n:16857 time:263481
n:17950 time:295257
n:19113 time:306892
n:20351 time:304014
n:21669 time:330601
n:23073 time:360376
n:24568 time:404980
n:26160 time:423516
n:27854 time:515846
n:29659 time:489039
n:31581 time:495562
n:33627 time:504832
n:35805 time:574334
n:38125 time:583278
n:40595 time:620677
n:43225 time:649455
n:46025 time:599690
n:49007 time:619609
n:52182 time:634061
n:55563 time:811013
n:59163 time:786032
n:62996 time:773849
n:67077 time:857614
n:71422 time:964184
n:76050 time:835004
n:80977 time:1262651
n:86223 time:1172868
n:91809 time:1029998
n:97757 time:1183806
n:104090 time:1340296
n:110834 time:1359323
n:118014 time:1544778
n:125660 time:1585159
n:133801 time:1479205
n:142470 time:1799976
n:151700 time:1908797
n:161528 time:1800879
n:171992 time:1832529
n:183135 time:2292929
n:195000 time:2332339
n:207633 time:2320798
n:221085 time:2656148
n:235408 time:2644815
n:250659 time:2771340
n:266898 time:3194497
n:284190 time:3591911
n:302601 time:3817280
n:322206 time:4022670
n:343080 time:4128106
n:365307 time:4551960
n:388974 time:4950971
n:414174 time:4384152
n:441006 time:5396949
n:469577 time:5290735
n:500000 time:6298475
