n:1000 time:31853
n:1064 time:37205
n:1133 time:48092
n:1207 time:49114
n:1285 time:59818
n:1368 time:56658
n:1457 time:54510
n:1551 time:30754
n:1652 time:22768
n:1759 time:26172
n:1873 time:29655
n:1994 time:33818
n:2123 time:29203
n:2261 time:29607
n:2408 time:33071
n:2564 time:40497
n:2730 time:44550
n:2907 time:39920
n:3095 time:48515
n:3295 time:52525
n:3509 time:54656
n:3736 time:49239
n:3978 time:65903
n:4236 time:61396
n:4511 time:73204
n:4803 time:70272
n:5114 time:81794
n:5446 time:79611
n:5798 time:96862
n:6174 time:89197
n:6574 time:95031
n:7000 time:110491
n:7454 time:110288
n:7937 time:142003
n:8451 time:129396
n:8998 time:148649
n:9581 time:137338
n:10202 time:170603
n:10863 time:180080
n:11567 time:214375
n:12316 time:202736
n:13114 time:214246
n:13964 time:186949
n:14868 time:207109
n:15832 time:243066
n:16857 time:261265
n:17950 time:291777
n:19113 time:302647
n:20351 time:318470
n:21669 time:309410
n:23073 time:357515
n:24568 time:396789
n:26160 time:426484
n:27854 time:438663
n:29659 time:482430
n:31581 time:508983
n:33627 time:515480
n:35805 time:561043
n:38125 time:700251
n:40595 time:635272
n:43225 time:666685
n:46025 time:600286
n:49007 time:595502
n:52182 time:607724
n:55563 time:795691
n:59163 time:788132
n:62996 time:766467
n:67077 time:901946
n:71422 time:948976
n:76050 time:819620
n:80977 time:1093112
n:86223 time:1154448
n:91809 time:1091831
n:97757 time:1142087
n:104090 time:1322846
n:110834 time:1369166
n:118014 time:1541436
n:125660 time:1636591
n:133801 time:1491835
n:142470 time:1868059
n:151700 time:1942034
n:161528 time:1839927
n:171992 time:1834635
n:183135 time:2403731
n:195000 time:2387517
n:207633 time:2337877
n:221085 time:2755220
n:235408 time:2708925
n:250659 time:2835638
n:266898 time:3322582
n:284190 time:3709281
n:302601 time:3822949
n:322206 time:4319414
n:343080 time:4151364
n:365307 time:4520536
n:388974 time:5046630
n:414174 time:4382278
n:441006 time:5779686
n:469577 time:5309407
n:500000 time:6550763
