n:1000 time:8822
n:1064 time:595638
n:1133 time:590273
n:1207 time:572915
n:1285 time:235711
n:1368 time:265051
n:1457 time:293588
n:1551 time:312102
n:1652 time:355050
n:1759 time:418004
n:1873 time:372956
n:1994 time:415685
n:2123 time:450379
n:2261 time:513998
n:2408 time:532936
n:2564 time:581177
n:2730 time:355835
n:2907 time:367552
n:3095 time:380091
n:3295 time:939214
n:3509 time:1009738
n:3736 time:1203698
n:3978 time:533106
n:4236 time:1147375
n:4511 time:1299295
n:4803 time:810716
n:5114 time:740546
n:5446 time:842312
n:5798 time:1000338
n:6174 time:1013271
n:6574 time:1178204
n:7000 time:2532359
n:7454 time:1463837
n:7937 time:3010694
n:8451 time:1680241
n:8998 time:1829791
n:9581 time:4102457
n:10202 time:2327205
n:10863 time:4950572
n:11567 time:5216442
n:12316 time:6916723
n:13114 time:3906111
n:13964 time:8940873
n:14868 time:9321756
n:15832 time:11414912
n:16857 time:10975679
n:17950 time:6386686
n:19113 time:14960672
n:20351 time:15467188
n:21669 time:18273292
n:23073 time:19941434
n:24568 time:22208747
n:26160 time:24987270
n:27854 time:15031800
n:29659 time:16300474
n:31581 time:37046197
n:33627 time:22526670
n:35805 time:50998607
n:38125 time:55192229
n:40595 time:59811956
n:43225 time:72575825
n:46025 time:79636030
n:49007 time:84135939
n:52182 time:49708601
n:55563 time:56004503
n:59163 time:66744568
n:62996 time:142016108
n:67077 time:177068591
n:71422 time:96237140
n:76050 time:207207458
n:80977 time:235830749
n:86223 time:271279887
n:91809 time:338438626
n:97757 time:374001431
n:104090 time:213876931
n:110834 time:467051001
n:118014 time:278687765
n:125660 time:650210452
n:133801 time:710953039
n:142470 time:419466637
n:151700 time:950874051
n:161528 time:1156540098
n:171992 time:1275797290
n:183135 time:1477729937
n:195000 time:1706918518
n:207633 time:1879192849
n:221085 time:2228044458
n:235408 time:2615322836
n:250659 time:2969353479
n:266898 time:3338138922
n:284190 time:1990225769
n:302601 time:4427254698
n:322206 time:2612300580
n:343080 time:5960672337
n:365307 time:3472115105
n:388974 time:3904788391
n:414174 time:4496576967
n:441006 time:5104035669
n:469577 time:11565237297
n:500000 time:13310954766
