n:1000 time:52377
n:1064 time:79226
n:1133 time:84226
n:1207 time:34058
n:1285 time:32371
n:1368 time:35709
n:1457 time:34795
n:1551 time:35762
n:1652 time:40878
n:1759 time:47634
n:1873 time:43242
n:1994 time:48421
n:2123 time:46049
n:2261 time:54669
n:2408 time:54214
n:2564 time:59872
n:2730 time:61148
n:2907 time:66113
n:3095 time:72427
n:3295 time:75845
n:3509 time:79318
n:3736 time:85166
n:3978 time:93379
n:4236 time:101337
n:4511 time:108400
n:4803 time:108653
n:5114 time:116301
n:5446 time:139510
n:5798 time:131671
n:6174 time:138569
n:6574 time:153939
n:7000 time:159570
n:7454 time:172154
n:7937 time:191778
n:8451 time:200391
n:8998 time:201080
n:9581 time:226892
n:10202 time:233906
n:10863 time:233070
n:11567 time:262653
n:12316 time:218580
n:13114 time:235063
n:13964 time:266874
n:14868 time:301924
n:15832 time:306907
n:16857 time:312860
n:17950 time:349180
n:19113 time:342253
n:20351 time:379957
n:21669 time:399674
n:23073 time:430996
n:24568 time:450288
n:26160 time:483192
n:27854 time:493374
n:29659 time:524884
n:31581 time:592031
n:33627 time:603820
n:35805 time:656246
n:38125 time:690982
n:40595 time:696002
n:43225 time:747395
n:46025 time:813376
n:49007 time:884329
n:52182 time:932901
n:55563 time:1072800
n:59163 time:1177832
n:62996 time:1222505
n:67077 time:1218225
n:71422 time:1384870
n:76050 time:1483458
n:80977 time:1502121
n:86223 time:1668697
n:91809 time:1703826
n:97757 time:1711856
n:104090 time:1869736
n:110834 time:2246066
n:118014 time:2116923
n:125660 time:2197079
n:133801 time:2302006
n:142470 time:2805831
n:151700 time:2650567
n:161528 time:3189515
n:171992 time:3170624
n:183135 time:3421657
n:195000 time:3492908
n:207633 time:3579018
n:221085 time:3943020
n:235408 time:4315836
n:250659 time:4296398
n:266898 time:4435661
n:284190 time:4851786
n:302601 time:4960353
n:322206 time:4628406
n:343080 time:5168801
n:365307 time:5736392
n:388974 time:5945271
n:414174 time:5959264
n:441006 time:6207551
n:469577 time:6811363
n:500000 time:7099442
